Bio ID,First,Middle,Last,District: Address,District: Phone,District: Fax,Initial 
A000022,Gary,L.,Ackerman,"218-14 Northern Boulevard Bayside, New York 11361",(718) 423-2154, (718) 423-5053 
C001070," Robert 
",P,Casey	 ,"17 South Park Row, Suite B-150 Erie, Pennsylvania 16501",(814) 874-5080,(814) 874-5084 
C001070," Robert 
",P,Casey	 ,"840 Hamilton Street, Suite 301 Allentown, Pennsylvania 18101",(610) 782-9470,(610) 782-9474 
C001070," Robert 
",P,Casey	 ,"Regional Enterprise Tower, 425 6th Ave., Ste. 2490 Pittsburgh, Pennsylvania 15219",(412) 803-7370,(412) 803-7379 
C001070," Robert 
",P,Casey	 ,"2000 Market Street, Suite 1870 Philadelphia, Pennsylvania 19103",(215) 405-9660,(215) 405-9669 
C001070," Robert 
",P,Casey	 ,"22 South Third Street, Suite 6A Harrisburg, Pennsylvania 17101",(717) 231-7540,(717) 231-7542
C001075,Bill,,Cassidy,"5555 Hilton Avenue, #100 Baton Rouge, Louisiana 70808", (225) 929-7711,(225) 929-7688 
C001075,Bill,,Cassidy,"29261 Frost Road Livingston, Louisiana 70754",(225) 686-4413,225) 929-7688 
C001066,Kathy,,Castor,"4144 North Armenia Avenue, Suite 300 Tampa, Florida 33607",(813) 871-2817,(813) 871-2864 
C000266,Steve,,Chabot,"441 Vine Street, Suite 3003 Cincinnati, Ohio 45202",(513) 684-2723,(513) 421-8722 
C001076,Jason,,Chaffetz,"51 South University Avenue, Suite 317 Provo, Utah 84601",(801) 851-2500,(801) 851-2509 
C001076,Jason,,Chaffetz,"3895 West 7800 South, Suite 201 West Jordan, Utah 84088",(801) 282-5502
C000286,Saxby,,Chambliss,"100 Galleria, Suite 1340 Atlanta, Georgia 30339",(770) 763-9090,(770) 226-8633 
C000286,Saxby,,Chambliss,"300 Mulberry Street, Suite 502 Macon, Georgia 31201",(478) 741-1417,(478) 741-1437 
C000286,Saxby,,Chambliss,"585 South Main Street Moultrie, Georgia 31776",(229) 985-2112,(229) 985-2123 
C000286,Saxby,,Chambliss,"3633 Wheeler Road, Suite 270 Augusta, Georgia 30909",(706) 650-1555,(706) 650-7985 
C001058,Ben,,Chandler,"1010 Monarch Street, Suite 310 Lexington, Kentucky 40513",(859) 219-1366,(859) 219-3437 
C000380,Donna,M.,Christensen,"Nisky Center, Suite 207 St. Thomas, Virgin Islands 00802",(340) 774-4408,(340) 774-8033 
C000380,Donna,M.,Christensen,"Sunshine Mall, #1 Estate Cane, Space #204 & 205 St. Croix, Virgin Islands 00840",(340) 778-5900,(340) 778-5111 
C001080,Judy,,Chu,"4401 Santa Anita Avenue, Suite 201 El Monte, California 91731-1607",(626) 448-1271,(626) 448-8062 
C001080,Judy,,Chu,"4716 Cesar Chavez Avenue East Los Angeles, California 90022",(323) 307-9904,(323) 307-9906 
C001084,David,N.,Cicilline,"1070 Main Street, Suite 300 Pawtucket, Rhode Island 02860",(401) 729-5600,(401) 729-5608 
C001085,Hansen,,Clarke,"400 Monroe Street, Suite 290 Detroit, Michigan 48226",(313) 962-7700,(313) 962-771
C001067,Yvette,D.,Clarke,"123 Linden Boulevard, Fourth Floor Brooklyn, New York 11226",(718) 287-1142,(718) 287-1223 
C000488,Wm.,Lacy,Clay,"625 North Euclid Street, Suite 326 St. Louis, Missouri 63108",(314) 367-1970,(314) 367-1341 
C000488,Wm.,Lacy,Clay,"8021 West Florissant Avenue, Suite #F St. Louis, Missouri 63136",(314) 383-5240,(314) 383-8020 
C001061,Emanuel,,Cleaver,"101 West 31 Street Kansas City, Missouri 64108",(816) 842-4545,(816) 471-5215 
C001061,Emanuel,,Cleaver,"211 West Maple Avenue Independence, Missouri 64050",(816) 833-4545,(816) 833-299
C000537,James,E.,Clyburn,"1225 Lady Street, Suite 200 Columbia, South Carolina 29201",(803) 799-1100,(803) 799-9060 
C000537,James,E.,Clyburn,"181 East Evans Street, Suite 314 Florence, South Carolina 29506",(843) 662-1212,(843) 662-8474 
C000537,James,E.,Clyburn,"176 Brooks Boulevard Santee, South Carolina 29142",(803) 854-4700,(803) 854-4900 
C000542,	 Daniel,,Coats	 ,"10 West Market Street, 1650 Market Tower Indianapolis, Indiana 46204",(317) 554-0750
C000556,Howard,,Coble,"2102 North Elm Street, Suite B Greensboro, North Carolina 27408",(336) 333-5005,(336) 333-5048 
C000556,Howard,,Coble,"222 Sunset Avenue, #101 Asheboro, North Carolina 27203-5658",(336) 626-3060,(336) 629-7819 
C000556,Howard,,Coble,"1634 North Main Street, Suite 101 High Point, North Carolina 27262-2644",(336) 886-5106,(336) 886-8740 
C000556,Howard,,Coble,"805 South Salisbury Avenue Granite Quarry, North Carolina 28072",(704) 209-0426,(704) 209-0428 
C000556,Howard,,Coble,"124 Elm Street, PO Box 812 Graham, North Carolina 27253",(336) 229-0159,(336) 228-7974
C000560,	 Tom,,Coburn	 ,"1800 South Baltimore, Suite 800 Tulsa, Oklahoma 74119",(918) 581-7651,(918) 581-7195 
C000560,	 Tom,,Coburn	 ,"100 North Broadway, Suite 1820 Oklahoma City, Oklahoma 73102",(405) 231-4941,(415) 231-5051 
C000567,	 Thad,,Cochran	 ,"190 East Capitol Street, Suite 550 Jackson, Mississippi 39201",(601) 965-4459,(601) 965-4919 
C000567,	 Thad,,Cochran	 ,"911 East Jackson Avenue, Suite 249 Oxford, Mississippi 38655",(662) 236-1018,(662) 236-7618 
C000567,	 Thad,,Cochran	 ,"2012 15th Street, Suite 451 Gulfport, Mississippi 39501",(228) 867-9710,(228) 867-9789 
C001077,Mike,,Coffman,"9220 Kimmer Drive, Suite #220 Lone Tree, Colorado 80124",(720) 283-9772,(720) 283-9776 
C001068,Steve,,Cohen,"167 North Main Street, Suite 369 Memphis, Tennessee 38103",(901) 544-4131,(901) 544-4329
C001053,Tom,,Cole,"2424 Springer Drive, Suite 201 Norman, Oklahoma 73069",(405) 329-6500,(405) 321-7369 
C001053,Tom,,Cole,"711 Southwest D Avenue, Suite 201 Lawton, Oklahoma 73501",(580) 357-2131,(580) 357-7477 
C001053,Tom,,Cole,"100 East 13th Street, Suite 213 Ada, Oklahoma 74820",(580) 436-5375,(580) 436-5451 
C001035, Susan ,,Collins	,"202 Harlow Street, Room 204 Bangor, Maine 04402",(207) 945-0417,(207) 990-4604 
C001035, Susan ,,Collins	,"68 Sewall Street, Room 507 Augusta, Maine 04330",(207) 622-8414,(207) 622-5884
C001035, Susan ,,Collins	,"160 Main Street Biddeford, Maine 04005",(207) 283-1101,(207) 283-4054 
C001035, Susan ,,Collins	,"55 Lisbon Street Lewiston, Maine 04240",(207) 784-6969,(207) 782-6475 
C001035, Susan ,,Collins	,"25 Sweden Street, Suite A Caribou, Maine 04736",(207) 493-7873,(207) 493-7810 
C001035, Susan ,,Collins	,"One Canal Plaza, Suite 802 Portland, Maine 04101",(207) 780-3575,(207) 828-0380 
C001062,K.,Michael,Conaway,"6 Desta Drive, Suite 2000 Midland, Texas 79705",(432) 687-2390,(432) 687-0277 
C001062,K.,Michael,Conaway,"33 East Twohig, Suite 307 San Angelo, Texas 76903",(325) 659-4010,(325) 659-4014 
C001062,K.,Michael,Conaway,"501 Center Avenue Brownwood, Texas 76801",(325) 646-1950,(325) 646-2979 
C001062,K.,Michael,Conaway,"411 West 8th Street, 5th Floor Odessa, Texas",(432) 331-9667,(432) 332-6538 
C001062,K.,Michael,Conaway,"104 West Sandstone Llano, Texas 78643",(325) 247-2826,(325) 247-2676
C001078,Gerald,E.,Connolly,"4115 Annandale Road, Suite 103 Annandale, Virginia 22003",(703) 256-3071,(703) 354-1284 
C001078,Gerald,E.,Connolly,"4308 Ridgewood Center Drive Woodbridge, Virginia 22192",(703) 670-4989,(703) 670-6042
C000705,	 Kent,,Conrad	 ,"220 East Rosser Avenue, Room 228 Bismarck, North Dakota 58501",(701) 258-4648,(701) 258-1254 
C000705,	 Kent,,Conrad	 ,"657 2nd Avenue North, Room 306 Fargo, North Dakota 58102",(701) 232-8030,(701) 232-6449 
C000705,	 Kent,,Conrad	 ,"33 South 3rd Street, Suite B Grand Forks, North Dakota 58201",(701) 775-9601,(701) 746-1990 
C000705,	 Kent,,Conrad	 ,"100 1st Street SW, Room 105 Minot, North Dakota 58701", (701) 852-0703,(701) 838-8196 
C000714,John,,Conyers,"231 West Lafayette Boulevard, 669 Federal Building Detroit, Michigan 48226",(313) 961-5670,(313) 226-2085 
C000714,John,,Conyers,"2615 West Jefferson Trenton, Michigan 48183",(734) 675-4084,(734) 675-4218 
C001088, Christopher ,,Coons	,"1105 North Market Street, Suite 2000 Wilmington, Delaware 19801-1233",(302) 573-6345,(302) 573-6351 
C001088, Christopher ,,Coons	,"24 NW Front Street, Windsor Building, Suite 101 Milford, Delaware 19963",(302) 424-8090,(302) 424-8098 
C000754,Jim,,Cooper,"605 Church Street Nashville, Tennessee 37219",(615) 736-5295,(615) 736-7479 
C001071,	 Bob,,Corker	 ,"10 West MLK Boulevard, 6th Floor Chattanooga, Tennessee 37402",(423) 756-2757,(423) 756-5313 
C001071,	 Bob,,Corker	 ,"800 Market Street, Suite 121 Knoxville, Tennessee 37902",(865) 637-4180,(865) 637-9886 
C001071,	 Bob,,Corker	 ,"2525 Highway 75, Suite 126 Blountville, Tennessee 37617",(423) 323-1252,(423) 323-0358 
C001071,	 Bob,,Corker	 ,"109 South Highland Avenue, B8 Jackson, Tennessee 38301",(731) 424-9655,(731) 424-8322 
C001071,	 Bob,,Corker	 ,"3322 West End Avenue, Suite 610 Nashville, Tennessee 37203",(615) 279-8125,(615) 279-9488 
C001071,	 Bob,,Corker	 ,"100 Peabody Place, Suite 1125 Memphis, Tennessee 38103",(901) 683-1910,(901) 575-3528
C001056,	 John,,Cornyn	 ,"221 West 6th Street, Suite 1530 Austin, Texas 78701",(512) 469-6034,(512) 469-6020 
C001056,	 John,,Cornyn	 ,"5001 Spring Valley Road, Suite 1125E Dallas, Texas 75244",(972) 239-1310,(972) 239-2110 
C001056,	 John,,Cornyn	 ,"5300 Memorial Drive, Suite 980 Houston, Texas 77007",(713) 572-3337,(713) 572-3777 
C001056,	 John,,Cornyn	 ,"600 Navarro, Suite 210 San Antonio, Texas 78205",(210) 224-7485,(210) 224-8569 
C001056,	 John,,Cornyn	 ,"222 East Van Buren Street, Suite 404 Harlingen, Texas 78550",(956) 423-0162,(956) 423-0193 
C001056,	 John,,Cornyn	 ,"1500 Broadway, Suite 1230 Lubbock, Texas 79401",(806) 472-7533,(806) 472-7536 
C001056,	 John,,Cornyn	 ,"100 East Ferguson Street, Suite 1004 Tyler, Texas 75702",(903) 593-0902,(903) 593-0920
C001059,Jim,,Costa,"855 M Street, Suite 940 Fresno, California 93721",(559) 495-1620,(559) 495-1027 
C001059,Jim,,Costa,"2700 M Street, Suite 225 Bakersfield, California 93301", (661) 869-1620,(661) 869-1027
C000794,Jerry,F.,Costello,"144 Lincoln Place Court, Suite 4 Belleville, Illinois 62221",(618) 233-8026,(618) 233-8765
C000794,Jerry,F.,Costello,"2060 Delmar Avenue, Suite B Granite City, Illinois 62040",(618) 451-7065,(618) 451-2126 
C000794,Jerry,F.,Costello,"250 West Cherry Street Carbondale, Illinois 62901",(618) 529-3791,(618) 549-3768 
C000794,Jerry,F.,Costello,"8787 State Street, Suite 102 East St. Louis, Illinois 62203",(618) 397-8833,(618) 397-7065 
C000794,Jerry,F.,Costello,"1330 Swanwick Street Chester, Illinois 62233",(618) 826-3043,(618) 826-1923 
C000794,Jerry,F.,Costello,"201 East Nolen Street West Frankfort, Illinois 62896",(618) 937-6402,(618) 937-3307 
C001069,Joe,,Courtney,"101 Water Street, Suite 301 Norwich, Connecticut 06360",(860) 886-0139,(860) 886-2974 
C001069,Joe,,Courtney,"77 Hazard Ave, Unit J Enfield, Connecticut 06082",(860) 741-6011,(860) 741-6036 
C000880,	 Mike,,Crapo	 ,"251 East Front Street, Suite 205 Boise, Idaho 83702",(208) 334-1776,(208) 334-9044 
C000880,	 Mike,,Crapo	 ,"275 South 5th Avenue, Suite 225 Pocatello, Idaho 83201",(208) 236-6775,(208) 236-6935 
C000880,	 Mike,,Crapo	 ,"610 Hubbard Street, Suite 209 Coeur d' Alene, Idaho 83814",(208) 664-5490,(208) 664-0889 
C000880,	 Mike,,Crapo	 ,"202 Falls Avenue, #2 Twin Falls, Idaho 83301",(208) 734-2515,(208) 733-0414 
C000880,	 Mike,,Crapo	 ,"313 D Street, Suite 105 Lewiston, Idaho 83501",(208) 743-1492,(208) 743-6484 
C000880,	 Mike,,Crapo	 ,"410 Memorial Drive, Suite 204 Idaho Falls, Idaho 83402",(208) 522-9779,(208) 529-8367 
C001086,Chip,,Cravaack,"6448 Main Street, Suite 6 North Branch, Minnesota 55056",(651) 237-8220,(651) 237-8225 
C001087,Eric,A.  “Rick”,Crawford,"112 South 1st Cabot, Arkansas 72023",(501) 843-3043,(501) 843-4955 
C001087,Eric,A.  “Rick”,Crawford,"2400 Highland Drive, Suite 3000 Jonesboro, Arkansas 72401",(870) 203-0540,(870) 203-0542 
C001045,Ander,,Crenshaw,"1061 Riverside Avenue, Suite 100 Jacksonville, Florida 32204",(904) 598-0481,(904) 598-0486 
C001045,Ander,,Crenshaw,"212 North Marion Avenue, Suite 209 Lake City, Florida 32055",(386) 365-3316
C001081,Mark,S.,Critz,"647 Main Street, Suite 401 Johnstown, Pennsylvania 15901", (814) 535-2642,(814) 539-6229 
C001081,Mark,S.,Critz,"20 North Gallatin Avenue, Suite 216 Uniontown, Pennsylvania 15401",(724) 434-2620,(724) 434-2621 
C001038,Joseph,,Crowley,"74-09 37th Avenue, Suite 306B Jackson Heights, New York 11372",(718) 779-1400,(718) 505-0156 
C001038,Joseph,,Crowley,"2800 Bruckner Boulevard, Suite 301 Bronx, New York 10465",(718) 931-1400,(718) 931-1340 
C001038,Joseph,,Crowley,"177 Dreiser Loop, Room 3 Bronx, New York 10475",(718) 320-2314,(718) 320-2314 
C001063,Henry,,Cuellar,"615 East Houston Street, Suite 451 San Antonio, Texas 78205",(210) 271-2851,(210) 277-6671 
C001063,Henry,,Cuellar,"117 East Tom Landry Mission, Texas 78572",(956) 424-3942,(956) 424-3936 
C001063,Henry,,Cuellar,"602 East Calton Road, Suite 2 Laredo, Texas 78041",(956) 725-0639,(956) 725-2647 
C001063,Henry,,Cuellar,"100 South Austin Street, Suite 1 Seguin, Texas 78155",(830) 401-0457,(830) 379-0984 
C001063,Henry,,Cuellar,"100 North FM 3167 Rio Grande City, Texas 78582",(956) 487-5603,(956) 488-0952 
C001048,John,Abney,Culberson,"10000 Memorial Drive, #620 Houston, Texas 77024",(713) 682-8828,(713) 680-8070 
C000984,Elijah,E.,Cummings,"1010 Park Avenue, Suite 105 Baltimore, Maryland 21201",(410) 685-9199,(410) 685-9399 
C000984,Elijah,E.,Cummings,"754 Frederick Road Catonsville, Maryland 21228",(410) 719-8777,(410) 445-0110 
C000984,Elijah,E.,Cummings,"8267 Main Street, Room 102 Ellicott City, Maryland 21043",(410) 465-8259,(410) 465-8740 
D000096,Danny,K.,Davis,"3333 West Arthington Street, #130 Chicago, Illinois 60624",(773) 533-7520,(773) 533-7530 
D000096,Danny,K.,Davis,"2301 Roosevelt Road Broadview, Illinois 60155",(708) 345-6857
D000603,Geoff,,Davis,"300 Buttermilk Pike, Suite 101 Ft. Mitchell, Kentucky 41017",(859) 426-0080,(859) 426-0061 
D000603,Geoff,,Davis,"1405 Greenup Avenue, Suite 236 Ashland, Kentucky 41101",(606) 324-9898,(606) 325-9866 
D000603,Geoff,,Davis,"108 West Jefferson Street La Grange, Kentucky 40031",(502) 222-2233,(502) 222-4060 
D000603,Geoff,,Davis,"201 Government Street, Suite 102 Maysville, Kentucky 41056",(606) 564-6004,(606) 564-9355 
D000603,Geoff,,Davis,"400 North Main Street, Suite 145 Williamstown, Kentucky 41097",(859) 824-3320,(859) 824-3340
D000598,Susan,A.,Davis,"2700 Adams Avenue San Diego, California 92116",(619) 280-5353,(619) 280-5311 
D000191,Peter,A.,DeFazio,"405 East 8th Avenue, #2030 Eugene, Oregon 97401",(541) 465-6732,(541) 465-6458 
D000191,Peter,A.,DeFazio,"125 Central, #350 Coos Bay, Oregon 97420",(541) 269-2609
D000191,Peter,A.,DeFazio,"612 SE Jackson Street, #9 Roseburg, Oregon 97470",(541) 440-3523
D000197,Diana,,DeGette,"600 Grant Street, Suite 202 Denver, Colorado 80203",(303) 844-4988,(303) 844-4996 
D000216,Rosa,L.,DeLauro,"59 Elm Street New Haven, Connecticut 06510",(203) 562-3718,(203) 772-2260 
D000595,	 Jim,,DeMint	 ,"40 W. Broad Street Suite 320  Greenville, South Carolina 29601",(864) 233-5366,(864) 271-8901 ,ED
D000595,	 Jim,,DeMint	 ,"39 Broad Street Suite 300, 200 East Bay Street Charleston, South Carolina 29401",(843) 727-4525,(843) 722-4923 ,ED
D000595,	 Jim,,DeMint	 ,"1901 Main Street, Suite 1475 Columbia, South Carolina 29201",(803) 771-6112,(803) 771-6455 ,ED
D000612,Jeff,,Denham,"1040 East Herndon Avenue, #201 Fresno, California 93720",(559) 449-2490,(559) 449-2499 
D000612,Jeff,,Denham,"3509 Coffee Road, Suite D3 Modesto, California 95355",(209) 579-5458,(209) 579-5028 
D000604,Charles,W.,Dent,"3900 Hamilton Boulevard, Suite 207 Allentown, Pennsylvania 18103",(610) 770-3490
D000604,Charles,W.,Dent,"206 Main Street East Greenville, Pennsylvania 18041",(215) 541-4106,(215) 541-4109 
D000616,Scott,,DesJarlais,"1804 Carmack Boulevard, Suite A Columbia, Tennessee 38401",(931) 490-8699,(931) 490-8675
D000610,Theodore,E.,Deutch,"2500 North Military Trail, Suite 490 Boca Raton, Florida 33431",(561) 988-6302,(561) 988-6423 
D000299,Mario,,Diaz-Balart,"8669 NW 36th Street, Suite 100 Doral, Florida 33166",(305) 470-8555,(305) 470-8575 
D000327,Norman,D.,Dicks,"1019 Pacific Avenue, Suite 806 Tacoma, Washington 98402",(253) 593-6536,(253) 593-6551 
D000327,Norman,D.,Dicks,"345 6th Street, Suite 500 Bremerton, Washington 98337",(360) 479-4011,(360) 479-2126 
D000327,Norman,D.,Dicks,"332 East 5th Street Port Angeles, Washington 98362-3207",(360) 452-3370,(360) 452-3502 
D000355,John,D.,Dingell,"19855 West Outer Drive, Suite 103-E Dearborn, Michigan 48124",(313) 278-2936,(313) 278-3914 
D000355,John,D.,Dingell,"23 East Front Street, #103 Monroe, Michigan 48161",(734) 243-1849,(734) 243-5559 
D000355,John,D.,Dingell,"301 West Michigan Avenue, Suite 305 Ypsilanti, Michigan 48197",(734) 481-1100,(734) 481-1112 
D000399,Lloyd,,Doggett,"300 East 8th Street, #763 Austin, Texas 78701",(512) 916-5921,(512) 916-5108 
D000613,Robert,J.,Dold,"650 Dundee Road, Suite 380 Northbrook, Illinois 60062",(847) 940-0202,(847) 940-7143 
D000607,Joe,,Donnelly,"207 West Colfax Avenue South Bend, Indiana 46601-1601",(574) 288-2780,(574) 288-2825 
D000607,Joe,,Donnelly,"300 East Broadway Suite #102 Logansport, Indiana 46947",(574) 753-2671,(574) 753-7615 
D000482,Michael,F.,Doyle,"225 Ross Street, 5th Floor Pittsburgh, Pennsylvania 15219",(412) 261-5091,(412) 261-1983 
D000482,Michael,F.,Doyle,"11 Duff Road Penn Hills, Pennsylvania 15235",(412) 241-6055,(412) 241-6820 
D000482,Michael,F.,Doyle,"627 Lysle Boulevard McKeesport, Pennsylvania 15132",(412) 664-4049,(412) 664-4053 
D000482,Michael,F.,Doyle,"1350 Fifth Avenue Coraopolis, Pennsylvania 15108",(412) 264-3460
D000492,David,,Dreier,"510 East Foothill Boulevard, Suite 201 San Dimas, California 91773",(909) 575-6226,(909) 575-6266 
D000614,Sean,P.,Duffy,"208 Grand Avenue Wausau, Wisconsin 54403",(715) 298-9344
D000615,Jeff,,Duncan,"1028 Hayne Avenue Aiken, South Carolina 29801",(803) 649-5571,(803) 648-9038 
D000615,Jeff,,Duncan,"303 West Beltline Boulevard Anderson, South Carolina 29625",(864) 224-7401,(864) 225-7049 
D000615,Jeff,,Duncan,"200 Courthouse Public Square Laurens, South Carolina 29360",(864) 681-1028,(864) 681-1030 
D000533,John,J.,Duncan,"800 Market Street, Suite 110 Knoxville, Tennessee 37902",(865) 523-3772,(865) 544-0728 
D000533,John,J.,Duncan,"Blount County Courthouse, 331 Court Street Maryville, Tennessee 37804",(865) 984-5464,(865) 984-0521 
D000533,John,J.,Duncan,"6 East Madison Avenue Athens, Tennessee 37303-4297",(423) 745-4671,(423) 745-6025
D000563,	 Richard ,,Durbin	 ,"230 South Dearborn Street, Suite 3892 Chicago, Illinois 60604",(312) 353-4952,(312) 353-0150 
D000563,	 Richard ,,Durbin	 ,"525 South 8th Street Springfield, Illinois 62703",(217) 492-4062,(217) 492-4382 
D000563,	 Richard ,,Durbin	 ,"250 W. Cherry Street, Suite 115D Carbondale, Illinois 62901",(618) 351-1122,(618) 351-1124
D000563,	 Richard ,,Durbin	 ,"1504 Third Avenue, Suite 227 Rock Island, Illinois 61201",(309) 786-5173
E000290,Donna,F.,Edwards,"8730 Georgia Avenue, Suite 209 Silver Spring, Maryland 20910",(301) 562-7960,(301) 562-7964 
E000290,Donna,F.,Edwards,"5001 Silver Hill Road, Suite 106 Suitland, Maryland 20746",(301) 516-7601, (301) 516-7608 
E000288,Keith,,Ellison,"2100 Plymouth Avenue North Minneapolis, Minnesota 55411",(612) 522-1212,(612) 522-9915 
E000291,Renee,L.,Ellmers,"406 West Broad Street Dunn, North Carolina 28334",(910) 230-1910,(910) 230-1940 ,ED
E000172,Jo Ann,,Emerson,"555 Independence Street, Suite 1400 Cape Girardeau, Missouri 63703",(573) 335-0101,(573) 335-1931 
E000172,Jo Ann,,Emerson,"1301 Kingshighway Rolla, Missouri 65401",(573) 364-2455,(573) 364-1053 
E000172,Jo Ann,,Emerson,"22 East Columbia Farmington, Missouri 63640",(573) 756-9755,(573) 756-9762 
E000172,Jo Ann,,Emerson,"35 Court Square, Suite 300 West Plains, Missouri 65775",(417) 255-1515,(417) 255-2009 
E000179,Eliot,L.,Engel,"3655 Johnson Avenue Bronx, New York 10463",(718) 796-9700,(718) 796-5134 
E000179,Eliot,L.,Engel,"261 West Nyack Road West Nyack, New York 10994",(845) 735-1000,(845) 735-1963 
E000179,Eliot,L.,Engel,"6 Gramatan Avenue, Suite 205 Mt. Vernon, New York 10550",(914) 699-4100,(914) 699-3646 
H001041,Deal,,Heller,"400 South Virginia Street, Suite 738 Reno, Nevada 89501",(775) 686-5770,(775) 686-5729 
H001041,Deal,,Heller,"333 South Las Vegas Boulevard, Suite 8203 Las Vegas, Nevada 89101",(702) 388-6605,(702) 388-6501
E000285,Michael ,,Enzi	 ,"400 South Kendrick Avenue, Suite 303 Gillette, Wyoming 82716",(307) 682-6268,(307) 682-6501 
E000285,Michael ,,Enzi	 ,"2120 Capitol Avenue, Suite 2007 Cheyenne, Wyoming 82001",(307) 772-2477,(307) 772-2480 
E000285,Michael ,,Enzi	 ,"100 East B Street, Suite 3201 Casper, Wyoming 82602",(307) 261-6572,(307) 261-6574 
E000285,Michael ,,Enzi	 ,"1285 Sheridan Avenue, Suite 210 Cody, Wyoming 82414",(307) 527-9444,(307) 527-9476 
E000285,Michael ,,Enzi	 ,"1110 Maple Way, Suite G Jackson, Wyoming 83002", (307) 739-9507,(307) 739-9520 
E000215,Anna,G.,Eshoo,"698 Emerson Street Palo Alto, California 94301",(650) 323-2984,(650) 323-3498 
F000010,Eni,F. H.,Faleomavaega,"PO Box Drawer X Pago Pago, American Samoa 96799",684) 633-1372,(684) 633-2680 
F000460,Blake,,Farenthold,"1805 Ruben Torres, Suite B-27 Brownsville, Texas 78521",(956) 544-8801,(956) 544-8801 
F000460,Blake,,Farenthold,"101 North Shoreline Boulevard Corpus Christi, Texas 78404",(361) 884-2222,(361) 884-2223 
F000030,Sam,,Farr,"100 West Alisal Street Salinas, California 93901",(831) 424-2229,(831) 424-7099 
F000030,Sam,,Farr,"701 Ocean Street, Suite 318C Santa Cruz, California 95060",(831) 429-1976,(831) 429-1458 
F000043,Chaka,,Fattah,"4104 Walnut Street Philadelphia, Pennsylvania 19104",(215) 387-6404,(215) 387-6407 
F000043,Chaka,,Fattah,"6632 Germantown Avenue Philadelphia, Pennsylvania 19119",(215) 848-9386,(215) 848-3884 
F000062,	 Dianne,,Feinstein	 ,"One Post Street, Suite 2450 San Francisco, California 94104",(415) 393-0707,(415) 393-0710 ,ED
F000062,	 Dianne,,Feinstein	 ,"2500 Tulare Street, Suite 4290 Fresno, California 93721",(559) 485-7430,(559) 485-9689 
F000062,	 Dianne,,Feinstein	 ,"11111 Santa Monica Boulevard, Suite 915 Los Angeles, California 90025",(310) 914-7300,(310) 914-7318 
F000062,	 Dianne,,Feinstein	 ,"750 B Street, Suite 1030 San Diego, California 92101",(619) 231-9712,(619) 231-1108 
F000116,Bob,,Filner,"333 F Street, Suite A Chula Vista, California 91910",(619) 422-5963,(619) 422-7290 
F000116,Bob,,Filner,"1101 Airport Road, Suite D Imperial, California 92251",(760) 355-8800,(760) 355-8802 
F000458,Stephen,Lee,Fincher,"109 South Highland, Room #B-7 Jackson, Tennessee 38301",(731) 423-4848,(731) 427-1537 
F000451,Michael,G.,Fitzpatrick,"1717 Langhorne Newtown Road, Suite 400 Langhorne, Pennsylvania 19047",(215) 579-8102,(215) 579-8109 
F000444,Jeff,,Flake,"1640 South Stapley Drive, Suite 215 Mesa, Arizona 85204",(480) 833-0092,(480) 833-6314 
F000459,Charles,J.  “Chuck”,Fleischmann,"900 Georgia Avenue, Suite 126 Chattanooga, Tennessee 37402",(423) 756-2342,(423) 756-6613
F000459,Charles,J.  “Chuck”,Fleischmann,"200 Administration Road, Suite 100 Oak Ridge, Tennessee 37830",(865) 576-1976,(865) 576-3221 
F000456,John,,Fleming,"6425 Youree Drive, Suite 350 Shreveport, Louisiana 71105",(318) 798-2254,(318) 798-2063 
F000456,John,,Fleming,"103 North Third Street Leesville, Louisiana 71446", (337) 238-0778, (337) 238-0566 
F000456,John,,Fleming,"700 Benton Road Bossier City, Louisiana 71111",(318) 549-1712
F000461,Bill,,Flores,"4001 29th Street, Suite 116 Bryan, Texas 77802",(979) 703-4037
F000461,Bill,,Flores,"115 South Main Street, Suite 202 Cleburne, Texas 76033",(817) 774-2551,(817) 645-4796 
F000461,Bill,,Flores,"600 Austin Avenue, Suite 29 Waco, Texas 76710",(254) 732-0748,(254) 732-1755
F000445,J.,Randy,Forbes,"505 Independence Parkway, Suite 104 Chesapeake, Virginia 23320",(757) 382-0080,(757) 382-0780 
F000445,J.,Randy,Forbes,"425-H South Main Street Emporia, Virginia 23847",(434) 634-5575,(434) 634-0511 
F000445,J.,Randy,Forbes,"9401 Courthouse Road, Suite 201 Chesterfield, Virginia 23832",(804) 318-1363,(804) 318-1013 
F000449,Jeff,,Fortenberry,"301 South 13th Street, Suite 100 Lincoln, Nebraska 68508",(402) 438-1598,(402) 438-1604 
F000449,Jeff,,Fortenberry,"125 South 4th Street, Suite 101 Norfolk, Nebraska 68701",(402) 379-2064,(402) 379-2101 
F000449,Jeff,,Fortenberry,"629 North Broad Street Fremont, Nebraska 68025",(402) 727-0888
F000450,Virginia,,Foxx,"6000 Meadowbrook Mall, Suite 3 Clemmons, North Carolina 27012",(336) 778-0211,(336) 778-2290 
F000450,Virginia,,Foxx,"240 Highway 105 Extension, Suite 200 Boone, North Carolina 28607",(828) 265-0240,(828) 265-0390 
F000339,Barney,,Frank,"29 Crafts Street Newton, Massachusetts 02458",(617) 332-3920,(617) 332-2822 
F000339,Barney,,Frank,"29 Broadway, Suite 310 Taunton, Massachusetts 02780",(508) 822-4796,(508) 822-8186 
